Movies Names,Rating out of 10,Count of Ratings,Release Date,Budget,Domestic Gross,Domestic Gross2,Domestic Weekend Gross,Domestic Weekend,Domestic Weekend Gross Date,Worldwide Gross
In the Name of the Father,8.1,187K,"December 27, 1993 (Ireland)","$13,000,000 (estimated)",US & Canada,$25096862,US & Canada,$109805,Jan 2 1994,"$65,796,862"
Salinui Chueok,8.1,215K,"May 2, 2003 (South Korea)","$2,800,000 (estimated)",US & Canada,$15357,US & Canada,$4487,Jul 17 2005,"$1,208,481"
Dead Poets Society,8.1,543K,"February 15, 2021 (India)","$16,400,000 (estimated)",US & Canada,$95860116,US & Canada,$340456,Jun 4 1989,"$235,860,116"
On the Waterfront,8.1,164K,"October 12, 1954 (India)","$910,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,"$2,719"
The Deer Hunter,8.1,361K,"February 23, 1979 (United States)","$15,000,000 (estimated)",US & Canada,$48979328,US & Canada,Not Found,Not Found,"$49,080,126"
The General,8.1,98K,"January 2, 1927 (United States)","$750,000 (estimated)",US & Canada,Not Found,US & Canada,Not Found,Not Found,$612
Relatos Salvajes,8.1,215K,"August 21, 2014 (Argentina)","$3,300,000 (estimated)",US & Canada,$3106530,US & Canada,$85100,Feb 22 2015,"$31,478,893"
Mad Max: Fury Road,8.1,1.1M,"May 15, 2015 (India)","$150,000,000 (estimated)",US & Canada,$154280290,US & Canada,$45428128,May 17 2015,"$380,418,444"
"Monsters, Inc.",8.1,975K,"June 23, 2002 (India)","$115,000,000 (estimated)",US & Canada,$290642256,US & Canada,$62577067,Nov 4 2001,"$579,723,768"
Sherlock Jr.,8.2,57K,"May 11, 1924 (United States)",Not Found,US & Canada,Not Found,US & Canada,Not Found,Not Found,$399
The Third Man,8.1,181K,"September 3, 1949 (Turkey)",Not Found,US & Canada,$1067364,US & Canada,$13576,May 9 1999,"$1,233,079"
Smultronstället,8.1,115K,"December 26, 1957 (Sweden)",Not Found,US & Canada,Not Found,US & Canada,Not Found,Not Found,"$60,418"
Le Salaire De La Peur,8.2,66K,"September 23, 1955 (India)",Not Found,US & Canada,Not Found,US & Canada,Not Found,Not Found,"$1,098"
